_key,학교명,시도,행정구,학교급,등급,유형,점수,n0,n1,y,초과순전출,코호트,위도,경도
234021124,인천가좌초등학교,인천,서구,초등학교,5,비위험,57.0,384,354,-0.078125,-0.03284651996471985,0.6136363636363636,37.4901503,126.6835279
234021147,인천경명초등학교,인천,서구,초등학교,5,비위험,29.4,891,816,-0.08417508417508418,-0.02705071468974791,0.6966292134831461,37.5369986,126.6373144
234021148,인천건지초등학교,인천,서구,초등학교,4,비위험,74.0,209,175,-0.16267942583732056,0.05842391464453055,0.6428571428571429,37.49548863,126.6774856
234021152,인천검단초등학교,인천,서구,초등학교,5,비위험,12.7,680,642,-0.05588235294117647,0.04071352905488799,0.9285714285714286,37.61079703,126.6697067
234021154,인천공촌초등학교,인천,서구,초등학교,4,비위험,73.8,205,184,-0.1024390243902439,0.059544232067800476,0.675,37.54867977,126.6832573
234021167,인천금곡초등학교,인천,서구,초등학교,5,비위험,52.2,269,254,-0.055762081784386616,0.03446489577257878,0.7555555555555555,37.6054434,126.65061
234021170,인천당하초등학교,인천,서구,초등학교,4,비위험,69.2,699,652,-0.06723891273247497,0.02103625900523723,0.5492957746478874,37.59005774,126.6776991
234021202,인천마전초등학교,인천,서구,초등학교,4,비위험,69.9,633,555,-0.12322274881516587,0.0010076467019468154,0.5068493150684932,37.59749871,126.6709335
234021205,인천목향초등학교,인천,서구,초등학교,5,비위험,57.5,484,425,-0.12190082644628099,-0.0010584690005325235,0.6354166666666666,37.61620512,126.6943003
234021212,인천백석초등학교,인천,서구,초등학교,5,비위험,24.8,806,732,-0.09181141439205956,0.01465528938184756,0.7482517482517482,37.58980222,126.6717483
234021220,인천봉수초등학교,인천,서구,초등학교,5,비위험,1.7,1216,1329,0.09292763157894737,-0.020373932245421607,1.7006369426751593,37.52638812,126.6786861
234021300,인천청라초등학교,인천,서구,초등학교,5,비위험,12.3,1281,1198,-0.06479313036690086,-0.027095397794540305,0.7629310344827587,37.53774888,126.6556967
234021301,인천초은초등학교,인천,서구,초등학교,5,비위험,15.1,836,820,-0.019138755980861243,-0.006169386790876152,0.85,37.52842319,126.6558477
